Time,Order ID,Order Status,Last Name,First Name,Birthday,E-Mail,Delivery Adress,Invoice Adress,Payment Method,Product ID,Product Name,Brand,Product Category,sell price,buy price,quantity,line item price,margin
2023-03-30 13:29:48,ID068663364145618,delivered,Rohrer,Nandino,1973-07-22,Nandino.Rohrer@hotmail.com,"RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA","RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA",credit card,P110042,,Levi's,Dresses,99,85,3,297,14.14%
2023-03-29 21:20:53,ID093312236590933,delivered,Gerber,Valèrie,1983-04-27,Valèrie.Gerber@gmail.ch,"95 EXIT 6 B NORTHBOUND 94, 13147 Scipio Center, USA","SYLVANIA HOUSES 62, 13224 Syracuse, USA",credit card,P110025,,Diesel,Shirts,45,35,2,90,22.22%
2023-03-27 20:10:24,ID068663364145618,paid,Rohrer,Nandino,1973-07-22,Nandino.Rohrer@hotmail.com,"RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA","RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA",credit card,P110042,,Levi's,Dresses,99,85,3,297,14.14%
2023-03-27 19:17:49,ID068663364145618,created,Rohrer,Nandino,1973-07-22,Nandino.Rohrer@hotmail.com,"RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA","RSOLL PROJECTS BUILDING 20 46, 14103 Medina, USA",credit card,P110042,,Levi's,Dresses,99,85,3,297,14.14%
2023-03-27 08:59:49,ID093312236590933,paid,Gerber,Valèrie,1983-04-27,Valèrie.Gerber@gmail.ch,"95 EXIT 6 B NORTHBOUND 94, 13147 Scipio Center, USA","SYLVANIA HOUSES 62, 13224 Syracuse, USA",credit card,P110025,,Diesel,Shirts,45,35,2,90,22.22%
2023-03-27 08:31:54,ID093312236590933,created,Gerber,Valèrie,1983-04-27,Valèrie.Gerber@gmail.ch,"95 EXIT 6 B NORTHBOUND 94, 13147 Scipio Center, USA","SYLVANIA HOUSES 62, 13224 Syracuse, USA",credit card,P110025,,Diesel,Shirts,45,35,2,90,22.22%
2023-03-09 13:49:33,ID882355570951390,delivered,Tschanz,Ruiying,2001-07-22,Ruiying.Tschanz@hispeed.ch,"Schöneggplatz 70, 9127 St. Peterzell, Schweiz","Schöneggplatz 70, 9127 St. Peterzell, Schweiz",credit card,P110049,,Diesel,Dresses,149,120,1,149,19.46%
2023-03-07 03:49:53,ID882355570951390,paid,Tschanz,Ruiying,2001-07-22,Ruiying.Tschanz@hispeed.ch,"Schöneggplatz 70, 9127 St. Peterzell, Schweiz","Schöneggplatz 70, 9127 St. Peterzell, Schweiz",credit card,P110049,,Diesel,Dresses,149,120,1,149,19.46%
2023-03-07 02:56:36,ID882355570951390,created,Tschanz,Ruiying,2001-07-22,Ruiying.Tschanz@hispeed.ch,"Schöneggplatz 70, 9127 St. Peterzell, Schweiz","Schöneggplatz 70, 9127 St. Peterzell, Schweiz",credit card,P110049,,Diesel,Dresses,149,120,1,149,19.46%
2021-10-23 08:09:45,ID236158049173668,delivered,Berger,Zandra,1966-06-02,Zandra.Berger@hispeed.ch,"Burenweg 82, 1356 La Russille, Schweiz","Burenweg 82, 1356 La Russille, Schweiz",invoice,P110007,,Diesel,Jeans,119,105,2,238,11.76%
2021-10-22 19:26:59,ID027506521259727,delivered,Bader,Badis,1948-01-14,Badis.Bader@bluewin.ch,"ACADEMY GEORGE MAND LIBRARY 54, 10003 New York City, USA","ACADEMY GEORGE MAND LIBRARY 54, 10003 New York City, USA",invoice,P110011,,Diesel,Sweaters,49,40,8,392,18.37%
2021-10-22 10:21:57,ID480988188337771,delivered,Bühler,Daksh,1966-02-28,Daksh.Bühler@gmail.de,"EXIT 3 SOUTHBOUND 74, 13310 Bouckville, USA","EXIT 3 SOUTHBOUND 74, 13310 Bouckville, USA",invoice,P110042,,Levi's,Dresses,99,85,6,594,14.14%
2021-10-22 10:13:45,ID476542005982288,delivered,Bader,Sefa,1966-10-19,Sefa.Bader@gmail.ch,"Kettberg 37, 3662 Seftigen, Schweiz","Kettberg 37, 3662 Seftigen, Schweiz",invoice,P110012,,Diesel,Sweaters,59,50,2,118,15.25%
2021-10-22 04:12:51,ID209801258910664,delivered,Fischer,Cassia,1951-10-26,Cassia.Fischer@gmail.us,"Bergliweg 51, 3256 Bangerten, Schweiz","Bergliweg 51, 3256 Bangerten, Schweiz",invoice,P110045,,Diesel,Dresses,99,80,6,594,19.19%
2021-10-22 03:24:04,ID313901019690215,delivered,Willi,Arbiana,1979-09-27,Arbiana.Willi@bluewin.ch,"Horgenweg 3, 9604 Lütisburg, Schweiz","Horgenweg 3, 9604 Lütisburg, Schweiz",invoice,P110010,,Pepe Jeans,Jeans,99,93,1,99,6.06%
2021-10-22 01:31:49,ID735232346951209,delivered,Schmutz,Marie-Anna,1976-08-21,Marie-Anna.Schmutz@gmail.de,"IAN WALD PROJECTS BLDG 9 95, 11771 Oyster Bay, USA","IAN WALD PROJECTS BLDG 9 95, 11771 Oyster Bay, USA",invoice,P110010,,Pepe Jeans,Jeans,99,93,7,693,6.06%
